Name,Address,Rating,Business Status,Place ID,Website
Santa Maria Country Club,"505 West Waller Lane, Santa Maria",4.5,OPERATIONAL,ChIJ5wuPf1Jr7IARg33uo-KN_No,http://www.santamariacc.com/
Walmart Pharmacy,"2220 South Bradley Road, Santa Maria",3.9,OPERATIONAL,ChIJtQVg4bNs7IAR9MKS1kibSHA,https://www.walmart.com/store/2507-santa-maria-ca/pharmacy/
St. Claire Apartment Homes,"1735 Biscayne Street, Santa Maria",3.4,OPERATIONAL,ChIJa49E32tr7IARsfe3puelnJI,https://www.livestclaire.com/?rccustomid=MTg4OTU=-lagFS0sSuTs=&utm_source=obl&utm_medium=organic
Walgreens,"2399 South Broadway, Santa Maria",2.8,OPERATIONAL,ChIJO8_4OlZr7IARlsxy7JO_Kls,https://www.walgreens.com/locator/walgreens-2399+s+broadway-santa+maria-ca-93454/id=6287
Rite Aid,"2405 South Broadway, Santa Maria",4.0,OPERATIONAL,ChIJc8HcGlZr7IARtW-TExjcvOk,https://www.riteaid.com/locations/ca/santa-maria/2405-south-broadway.html
Little Caesars Pizza,"2120 South Broadway, Santa Maria",3.8,OPERATIONAL,ChIJ_8OtdVhr7IARAoThtDm94rw,https://littlecaesars.com/en-us/store/9055
Waller Park,"3107 Orcutt Road, Orcutt",4.6,OPERATIONAL,ChIJORVluqgU7IARIDD0xrNhaHQ,https://www.countyofsb.org/parks/parks02.aspx?id=7654
Panera Bread,"540 Betteravia Road Suites, A, B and C, Santa Maria",4.0,OPERATIONAL,ChIJeaGqg69s7IARfkHoAkZEKEw,https://www.panerabread.com/en-us/cafe/locations/ca/santa-maria/540-east-betteravia-road?utm_medium=local&utm_source=google&utm_campaign=dpm-dist&utm_term=606457&utm_content=main
Anytime Fitness,"3400 Orcutt Road, Orcutt",4.6,OPERATIONAL,ChIJIXiUJn0U7IAR2C9ub_I-tts,https://www.anytimefitness.com/gyms/2149/orcutt-ca-93455/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=2149
Orcutt Union School District,"255 Winter Road, Santa Maria",,OPERATIONAL,ChIJp4FxWlgT7IAR9ywcfDUat5o,https://www.orcuttschools.net/
Institute of Beauty Culture,"325 Betteravia Road Ste. B1, Santa Maria",4.0,OPERATIONAL,ChIJoyD2OqZs7IARvMgYJFHNsE4,https://www.instituteofbeautyculture.com/
Orcutt,Orcutt,,,ChIJTSj1qZgT7IARAy29EsomYWU,N/A
Budget Car Rental,"3249 Terminal Drive, Santa Maria",3.0,OPERATIONAL,ChIJpSsIMrAU7IARz58OkUO5aks,https://www.budget.com/en/locations/us/ca/santa-maria/smx
BMW of Santa Maria,"2150 South College Drive, Santa Maria",4.6,OPERATIONAL,ChIJD31zLLBs7IARUnW53_BavW4,https://www.bmwsm.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business
Jack in the Box,"2306 South Broadway, Santa Maria",3.6,OPERATIONAL,ChIJg1piKqhs7IARmNM-moTODXY,https://locations.jackinthebox.com/us/ca/santa-maria/2306-s-broadway?utm_source=google&utm_medium=local&utm_campaign=google-local
Parke Orcutt,"3235 Orcutt Road, Santa Maria",3.9,OPERATIONAL,ChIJP4wOB6gU7IARD0Pv7qNWv5A,https://www.gardnercompany.com/property/parke-orcutt
Albertsons Pharmacy,"2320 South Broadway, Santa Maria",4.6,OPERATIONAL,ChIJsfO7QWMU7IARb5txt-S6HMk,https://local.pharmacy.albertsons.com/ca/santa-maria/2320-s-broadway.html
Advanced Wireless,"708 Betteravia Road # B, Santa Maria",4.6,OPERATIONAL,ChIJW6B1Wlpr7IAR-TWl3wsCeOk,http://www.advancedwireless.us/
Papa Napoli Italian Deli,"325 Betteravia Road # B9, Santa Maria",4.7,OPERATIONAL,ChIJoyD2OqZs7IARfKzzBK5srvc,http://www.papanapoli.com/
Dignity Health Urgent Care - Santa Maria,"2271 South Depot Street, Santa Maria",2.7,OPERATIONAL,ChIJQTitv6hs7IAR5pA5OW0KueA,https://locations.dignityhealth.org/dignity-health-urgent-care-santa-maria?y_source=1_OTAxMzc4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Social Security Administration,"2436 Professional Parkway, Santa Maria",3.2,OPERATIONAL,ChIJR9-ye1Zr7IARPsJwuYrYa2U,http://www.ssa.gov/
SizzlinGogi,"1841 South Broadway, Santa Maria",4.5,OPERATIONAL,ChIJH6hVaF9r7IARhz7MwVU5Axs,http://www.sizzlingogi.com/
Stokes Insurance Agency,"2880 Santa Maria Way, Santa Maria",5.0,OPERATIONAL,ChIJ_6xtN1QT7IAR0UBQIgdBozw,http://www.stokesinsurance.com/
German Auto of Santa Maria,"722 Betteravia Road Suite A, Santa Maria",4.4,OPERATIONAL,ChIJmdJ_-Fpr7IARALlv9o-WDZk,http://www.germanautosm.net/
Pearson Professional Center,"560 Betteravia Road SUITE I, Santa Maria",4.2,OPERATIONAL,ChIJNW5LVZ1s7IARLAnTWhlMnrE,http://www.easynclex.com/locations/test_centers_in_California.html
Martinez & Associates,"2624 Airpark Drive, Santa Maria",5.0,OPERATIONAL,ChIJ21nkqElr7IAR3fSpnE9a114,N/A
